image_id,grapheme_root,vowel_diacritic,consonant_diacritic,grapheme
Train_532,72,0,7,র্দ্র
Train_1482,64,3,7,র্ত্রী
Train_1874,64,7,7,র্ত্রে
Train_2120,64,7,7,র্ত্রে
Train_2391,64,3,7,র্ত্রী
Train_2752,64,7,7,র্ত্রে
Train_3099,72,0,7,র্দ্র
Train_3247,64,7,7,র্ত্রে
Train_3499,64,7,7,র্ত্রে
Train_3529,64,7,7,র্ত্রে
Train_3828,64,3,7,র্ত্রী
Train_4069,64,7,7,র্ত্রে
Train_4145,72,0,7,র্দ্র
Train_4369,72,0,7,র্দ্র
Train_4793,72,0,7,র্দ্র
Train_5123,72,0,7,র্দ্র
Train_5180,72,0,7,র্দ্র
Train_5214,72,0,7,র্দ্র
Train_6259,64,7,7,র্ত্রে
Train_6341,64,3,7,র্ত্রী
Train_6973,64,7,7,র্ত্রে
Train_7751,64,7,7,র্ত্রে
Train_8586,64,7,7,র্ত্রে
Train_8613,72,0,7,র্দ্র
Train_8846,64,3,7,র্ত্রী
Train_9287,72,0,7,র্দ্র
Train_9600,72,0,7,র্দ্র
Train_9746,64,3,7,র্ত্রী
Train_9865,72,0,7,র্দ্র
Train_10036,64,7,7,র্ত্রে
Train_10989,72,0,7,র্দ্র
Train_11122,64,3,7,র্ত্রী
Train_11643,64,3,7,র্ত্রী
Train_11668,64,7,7,র্ত্রে
Train_12816,64,7,7,র্ত্রে
Train_12944,64,7,7,র্ত্রে
Train_14100,64,7,7,র্ত্রে
Train_16056,72,0,7,র্দ্র
Train_16256,64,3,7,র্ত্রী
Train_17001,72,0,7,র্দ্র
Train_17195,72,0,7,র্দ্র
Train_17236,64,3,7,র্ত্রী
Train_17834,72,0,7,র্দ্র
Train_18525,72,0,7,র্দ্র
Train_19590,72,0,7,র্দ্র
Train_20199,72,0,7,র্দ্র
Train_20770,64,7,7,র্ত্রে
Train_22203,64,7,7,র্ত্রে
Train_22292,64,7,7,র্ত্রে
Train_22493,64,7,7,র্ত্রে
Train_23184,64,3,7,র্ত্রী
Train_23728,64,7,7,র্ত্রে
Train_23775,64,7,7,র্ত্রে
Train_24097,72,0,7,র্দ্র
Train_24723,64,7,7,র্ত্রে
Train_24842,72,0,7,র্দ্র
Train_25584,72,0,7,র্দ্র
Train_25817,72,0,7,র্দ্র
Train_26259,64,3,7,র্ত্রী
Train_26729,64,7,7,র্ত্রে
Train_27110,64,3,7,র্ত্রী
Train_27200,72,0,7,র্দ্র
Train_27372,64,7,7,র্ত্রে
Train_29594,64,7,7,র্ত্রে
Train_29671,72,0,7,র্দ্র
Train_29956,72,0,7,র্দ্র
Train_30135,72,0,7,র্দ্র
Train_30342,72,0,7,র্দ্র
Train_31066,64,7,7,র্ত্রে
Train_31861,64,3,7,র্ত্রী
Train_32077,64,3,7,র্ত্রী
Train_32300,64,7,7,র্ত্রে
Train_32430,72,0,7,র্দ্র
Train_33342,72,0,7,র্দ্র
Train_33607,64,3,7,র্ত্রী
Train_34267,64,3,7,র্ত্রী
Train_34455,64,7,7,র্ত্রে
Train_34621,64,7,7,র্ত্রে
Train_35008,64,7,7,র্ত্রে
Train_36136,64,7,7,র্ত্রে
Train_37033,64,7,7,র্ত্রে
Train_37646,64,7,7,র্ত্রে
Train_38232,72,0,7,র্দ্র
Train_38650,64,3,7,র্ত্রী
Train_39149,72,0,7,র্দ্র
Train_39457,72,0,7,র্দ্র
Train_39558,72,0,7,র্দ্র
Train_39881,64,7,7,র্ত্রে
Train_39968,64,7,7,র্ত্রে
Train_40847,72,0,7,র্দ্র
Train_40990,72,0,7,র্দ্র
Train_41548,72,0,7,র্দ্র
Train_41963,64,7,7,র্ত্রে
Train_42069,64,3,7,র্ত্রী
Train_42446,72,0,7,র্দ্র
Train_42522,64,3,7,র্ত্রী
Train_43313,64,7,7,র্ত্রে
Train_43534,72,0,7,র্দ্র
Train_43849,64,3,7,র্ত্রী
Train_44528,64,7,7,র্ত্রে
Train_44694,72,0,7,র্দ্র
Train_44808,72,0,7,র্দ্র
Train_45819,64,7,7,র্ত্রে
Train_46263,64,3,7,র্ত্রী
Train_46363,64,3,7,র্ত্রী
Train_46490,64,7,7,র্ত্রে
Train_47779,72,0,7,র্দ্র
Train_47976,64,3,7,র্ত্রী
Train_48379,64,3,7,র্ত্রী
Train_48591,64,3,7,র্ত্রী
Train_49385,72,0,7,র্দ্র
Train_49692,64,3,7,র্ত্রী
Train_49743,72,0,7,র্দ্র
Train_49860,64,3,7,র্ত্রী
Train_51262,72,0,7,র্দ্র
Train_51298,64,3,7,র্ত্রী
Train_51358,64,3,7,র্ত্রী
Train_51608,64,3,7,র্ত্রী
Train_51939,64,7,7,র্ত্রে
Train_52985,64,3,7,র্ত্রী
Train_53540,72,0,7,র্দ্র
Train_54610,64,3,7,র্ত্রী
Train_54727,64,7,7,র্ত্রে
Train_54949,64,3,7,র্ত্রী
Train_55444,64,3,7,র্ত্রী
Train_56055,64,7,7,র্ত্রে
Train_58146,64,3,7,র্ত্রী
Train_58329,64,7,7,র্ত্রে
Train_58665,64,3,7,র্ত্রী
Train_58789,64,7,7,র্ত্রে
Train_59007,64,7,7,র্ত্রে
Train_60155,64,3,7,র্ত্রী
Train_60369,64,7,7,র্ত্রে
Train_61287,64,3,7,র্ত্রী
Train_61488,64,7,7,র্ত্রে
Train_61857,72,0,7,র্দ্র
Train_61940,64,7,7,র্ত্রে
Train_62392,72,0,7,র্দ্র
Train_63260,72,0,7,র্দ্র
Train_63845,72,0,7,র্দ্র
Train_63984,64,3,7,র্ত্রী
Train_64614,64,7,7,র্ত্রে
Train_65073,64,3,7,র্ত্রী
Train_66104,72,0,7,র্দ্র
Train_66463,64,7,7,র্ত্রে
Train_67042,64,3,7,র্ত্রী
Train_67476,72,0,7,র্দ্র
Train_68108,72,0,7,র্দ্র
Train_68205,64,7,7,র্ত্রে
Train_70674,72,0,7,র্দ্র
Train_71035,64,3,7,র্ত্রী
Train_71198,64,7,7,র্ত্রে
Train_71471,64,3,7,র্ত্রী
Train_71831,64,3,7,র্ত্রী
Train_72426,72,0,7,র্দ্র
Train_72529,64,7,7,র্ত্রে
Train_73546,64,7,7,র্ত্রে
Train_73758,72,0,7,র্দ্র
Train_74423,64,7,7,র্ত্রে
Train_74841,64,7,7,র্ত্রে
Train_76323,64,3,7,র্ত্রী
Train_77481,64,7,7,র্ত্রে
Train_77964,64,7,7,র্ত্রে
Train_78009,64,3,7,র্ত্রী
Train_78010,72,0,7,র্দ্র
Train_78143,64,7,7,র্ত্রে
Train_78286,64,7,7,র্ত্রে
Train_79033,72,0,7,র্দ্র
Train_79407,64,7,7,র্ত্রে
Train_80044,64,3,7,র্ত্রী
Train_81690,64,7,7,র্ত্রে
Train_82051,64,3,7,র্ত্রী
Train_82971,64,3,7,র্ত্রী
Train_83736,72,0,7,র্দ্র
Train_83833,72,0,7,র্দ্র
Train_84979,72,0,7,র্দ্র
Train_85368,64,7,7,র্ত্রে
Train_86658,64,7,7,র্ত্রে
Train_87625,64,7,7,র্ত্রে
Train_87657,72,0,7,র্দ্র
Train_88302,64,3,7,র্ত্রী
Train_88512,72,0,7,র্দ্র
Train_88601,64,7,7,র্ত্রে
Train_89935,64,7,7,র্ত্রে
Train_90403,72,0,7,র্দ্র
Train_90671,72,0,7,র্দ্র
Train_90683,72,0,7,র্দ্র
Train_90750,64,3,7,র্ত্রী
Train_90879,64,3,7,র্ত্রী
Train_90891,64,7,7,র্ত্রে
Train_91680,64,7,7,র্ত্রে
Train_91964,64,7,7,র্ত্রে
Train_92761,64,7,7,র্ত্রে
Train_92814,64,3,7,র্ত্রী
Train_94563,72,0,7,র্দ্র
Train_94650,64,3,7,র্ত্রী
Train_94920,64,3,7,র্ত্রী
Train_95357,64,7,7,র্ত্রে
Train_96028,64,7,7,র্ত্রে
Train_96115,64,7,7,র্ত্রে
Train_96607,72,0,7,র্দ্র
Train_97876,72,0,7,র্দ্র
Train_98628,64,7,7,র্ত্রে
Train_98697,64,7,7,র্ত্রে
Train_99273,64,7,7,র্ত্রে
Train_100235,72,0,7,র্দ্র
Train_101087,72,0,7,র্দ্র
Train_101659,72,0,7,র্দ্র
Train_101903,64,3,7,র্ত্রী
Train_102252,64,3,7,র্ত্রী
Train_102719,72,0,7,র্দ্র
Train_103260,64,7,7,র্ত্রে
Train_103546,64,3,7,র্ত্রী
Train_103551,72,0,7,র্দ্র
Train_103844,64,7,7,র্ত্রে
Train_103865,64,7,7,র্ত্রে
Train_105097,64,7,7,র্ত্রে
Train_105346,72,0,7,র্দ্র
Train_105648,64,7,7,র্ত্রে
Train_106111,64,3,7,র্ত্রী
Train_107096,72,0,7,র্দ্র
Train_107633,64,3,7,র্ত্রী
Train_108116,72,0,7,র্দ্র
Train_108421,64,3,7,র্ত্রী
Train_108929,64,7,7,র্ত্রে
Train_109317,64,3,7,র্ত্রী
Train_109381,64,7,7,র্ত্রে
Train_109873,64,3,7,র্ত্রী
Train_109936,64,3,7,র্ত্রী
Train_110281,64,7,7,র্ত্রে
Train_110451,64,3,7,র্ত্রী
Train_110645,64,3,7,র্ত্রী
Train_110844,72,0,7,র্দ্র
Train_112147,72,0,7,র্দ্র
Train_112248,64,3,7,র্ত্রী
Train_112370,64,7,7,র্ত্রে
Train_112535,64,3,7,র্ত্রী
Train_112950,64,3,7,র্ত্রী
Train_112954,64,7,7,র্ত্রে
Train_113163,72,0,7,র্দ্র
Train_113253,64,7,7,র্ত্রে
Train_113510,64,3,7,র্ত্রী
Train_114200,64,7,7,র্ত্রে
Train_115316,64,3,7,র্ত্রী
Train_115979,64,7,7,র্ত্রে
Train_117188,64,7,7,র্ত্রে
Train_117478,64,7,7,র্ত্রে
Train_117697,72,0,7,র্দ্র
Train_117958,64,3,7,র্ত্রী
Train_121006,64,7,7,র্ত্রে
Train_121194,72,0,7,র্দ্র
Train_121240,72,0,7,র্দ্র
Train_121294,72,0,7,র্দ্র
Train_122895,64,3,7,র্ত্রী
Train_123002,72,0,7,র্দ্র
Train_123300,64,3,7,র্ত্রী
Train_124749,64,3,7,র্ত্রী
Train_125153,64,3,7,র্ত্রী
Train_125327,64,3,7,র্ত্রী
Train_125782,64,7,7,র্ত্রে
Train_125882,64,7,7,র্ত্রে
Train_126171,64,7,7,র্ত্রে
Train_126895,72,0,7,র্দ্র
Train_127647,64,3,7,র্ত্রী
Train_128328,64,7,7,র্ত্রে
Train_128496,72,0,7,র্দ্র
Train_128599,72,0,7,র্দ্র
Train_128631,64,7,7,র্ত্রে
Train_129310,64,7,7,র্ত্রে
Train_129395,64,7,7,র্ত্রে
Train_129631,64,3,7,র্ত্রী
Train_129735,72,0,7,র্দ্র
Train_130727,64,3,7,র্ত্রী
Train_130785,64,7,7,র্ত্রে
Train_130983,64,7,7,র্ত্রে
Train_131243,64,3,7,র্ত্রী
Train_132279,64,3,7,র্ত্রী
Train_133683,72,0,7,র্দ্র
Train_133788,72,0,7,র্দ্র
Train_133791,64,7,7,র্ত্রে
Train_134399,64,7,7,র্ত্রে
Train_134482,64,7,7,র্ত্রে
Train_134571,72,0,7,র্দ্র
Train_134757,72,0,7,র্দ্র
Train_134815,64,3,7,র্ত্রী
Train_134918,72,0,7,র্দ্র
Train_135172,64,3,7,র্ত্রী
Train_135181,64,3,7,র্ত্রী
Train_135371,64,3,7,র্ত্রী
Train_135674,72,0,7,র্দ্র
Train_135779,64,3,7,র্ত্রী
Train_136570,72,0,7,র্দ্র
Train_136826,64,3,7,র্ত্রী
Train_136928,72,0,7,র্দ্র
Train_138445,72,0,7,র্দ্র
Train_139391,72,0,7,র্দ্র
Train_140043,64,3,7,র্ত্রী
Train_140726,72,0,7,র্দ্র
Train_140730,64,3,7,র্ত্রী
Train_141417,64,7,7,র্ত্রে
Train_141477,64,7,7,র্ত্রে
Train_141755,64,3,7,র্ত্রী
Train_142053,64,7,7,র্ত্রে
Train_142772,64,7,7,র্ত্রে
Train_142785,64,7,7,র্ত্রে
Train_143905,72,0,7,র্দ্র
Train_144126,64,3,7,র্ত্রী
Train_144370,64,3,7,র্ত্রী
Train_144445,64,3,7,র্ত্রী
Train_144959,72,0,7,র্দ্র
Train_145842,72,0,7,র্দ্র
Train_145997,64,7,7,র্ত্রে
Train_146248,64,3,7,র্ত্রী
Train_146259,72,0,7,র্দ্র
Train_147285,64,3,7,র্ত্রী
Train_147819,72,0,7,র্দ্র
Train_147880,72,0,7,র্দ্র
Train_148252,72,0,7,র্দ্র
Train_148427,64,7,7,র্ত্রে
Train_148532,72,0,7,র্দ্র
Train_149265,72,0,7,র্দ্র
Train_150534,64,7,7,র্ত্রে
Train_150808,64,3,7,র্ত্রী
Train_151011,64,3,7,র্ত্রী
Train_151271,72,0,7,র্দ্র
Train_151349,64,3,7,র্ত্রী
Train_152714,64,3,7,র্ত্রী
Train_152798,64,7,7,র্ত্রে
Train_154645,72,0,7,র্দ্র
Train_155099,64,3,7,র্ত্রী
Train_155411,64,7,7,র্ত্রে
Train_156344,72,0,7,র্দ্র
Train_157235,64,7,7,র্ত্রে
Train_157263,64,7,7,র্ত্রে
Train_157266,64,3,7,র্ত্রী
Train_157882,64,7,7,র্ত্রে
Train_158150,64,7,7,র্ত্রে
Train_158220,64,3,7,র্ত্রী
Train_158878,64,7,7,র্ত্রে
Train_159280,64,3,7,র্ত্রী
Train_160226,72,0,7,র্দ্র
Train_160783,72,0,7,র্দ্র
Train_160820,72,0,7,র্দ্র
Train_160867,72,0,7,র্দ্র
Train_161670,64,3,7,র্ত্রী
Train_161779,64,7,7,র্ত্রে
Train_162186,64,7,7,র্ত্রে
Train_162621,64,7,7,র্ত্রে
Train_162766,64,7,7,র্ত্রে
Train_162902,64,3,7,র্ত্রী
Train_163608,64,3,7,র্ত্রী
Train_163615,64,3,7,র্ত্রী
Train_165172,72,0,7,র্দ্র
Train_165718,64,3,7,র্ত্রী
Train_166053,72,0,7,র্দ্র
Train_166179,64,3,7,র্ত্রী
Train_166316,72,0,7,র্দ্র
Train_166769,64,7,7,র্ত্রে
Train_166984,64,7,7,র্ত্রে
Train_167174,64,7,7,র্ত্রে
Train_167702,64,3,7,র্ত্রী
Train_167870,64,3,7,র্ত্রী
Train_168456,72,0,7,র্দ্র
Train_168608,64,7,7,র্ত্রে
Train_168805,72,0,7,র্দ্র
Train_168812,64,3,7,র্ত্রী
Train_168844,72,0,7,র্দ্র
Train_168874,72,0,7,র্দ্র
Train_169190,64,3,7,র্ত্রী
Train_170718,72,0,7,র্দ্র
Train_170981,72,0,7,র্দ্র
Train_170992,64,3,7,র্ত্রী
Train_171785,64,3,7,র্ত্রী
Train_172332,64,7,7,র্ত্রে
Train_172387,64,7,7,র্ত্রে
Train_172534,72,0,7,র্দ্র
Train_172847,64,3,7,র্ত্রী
Train_173015,64,3,7,র্ত্রী
Train_173655,64,3,7,র্ত্রী
Train_174573,64,7,7,র্ত্রে
Train_174600,72,0,7,র্দ্র
Train_174678,64,7,7,র্ত্রে
Train_174747,72,0,7,র্দ্র
Train_174887,72,0,7,র্দ্র
Train_175185,64,3,7,র্ত্রী
Train_175368,64,3,7,র্ত্রী
Train_175758,72,0,7,র্দ্র
Train_175912,72,0,7,র্দ্র
Train_175914,72,0,7,র্দ্র
Train_175935,64,7,7,র্ত্রে
Train_176335,72,0,7,র্দ্র
Train_177139,64,3,7,র্ত্রী
Train_177584,64,3,7,র্ত্রী
Train_178020,64,7,7,র্ত্রে
Train_178057,64,7,7,র্ত্রে
Train_178118,64,3,7,র্ত্রী
Train_178388,72,0,7,র্দ্র
Train_178751,64,3,7,র্ত্রী
Train_179516,64,7,7,র্ত্রে
Train_179716,72,0,7,র্দ্র
Train_180739,64,7,7,র্ত্রে
Train_181026,64,7,7,র্ত্রে
Train_181075,64,3,7,র্ত্রী
Train_181080,64,3,7,র্ত্রী
Train_181092,64,7,7,র্ত্রে
Train_181827,64,3,7,র্ত্রী
Train_182199,72,0,7,র্দ্র
Train_182714,64,3,7,র্ত্রী
Train_183292,64,7,7,র্ত্রে
Train_183709,64,3,7,র্ত্রী
Train_183795,72,0,7,র্দ্র
Train_184617,72,0,7,র্দ্র
Train_185161,64,7,7,র্ত্রে
Train_185184,72,0,7,র্দ্র
Train_186382,64,3,7,র্ত্রী
Train_186498,72,0,7,র্দ্র
Train_186968,72,0,7,র্দ্র
Train_187036,72,0,7,র্দ্র
Train_187682,64,3,7,র্ত্রী
Train_187908,64,7,7,র্ত্রে
Train_188107,64,3,7,র্ত্রী
Train_189441,64,3,7,র্ত্রী
Train_189617,64,3,7,র্ত্রী
Train_190703,64,3,7,র্ত্রী
Train_190892,64,3,7,র্ত্রী
Train_191579,64,7,7,র্ত্রে
Train_192430,64,3,7,র্ত্রী
Train_192982,64,3,7,র্ত্রী
Train_193111,64,7,7,র্ত্রে
Train_193171,64,3,7,র্ত্রী
Train_193938,64,7,7,র্ত্রে
Train_194072,72,0,7,র্দ্র
Train_194341,64,7,7,র্ত্রে
Train_194375,72,0,7,র্দ্র
Train_194399,64,3,7,র্ত্রী
Train_195005,64,3,7,র্ত্রী
Train_195747,72,0,7,র্দ্র
Train_195765,72,0,7,র্দ্র
Train_197460,72,0,7,র্দ্র
Train_198397,72,0,7,র্দ্র
Train_199164,72,0,7,র্দ্র
Train_199618,64,3,7,র্ত্রী
Train_199844,72,0,7,র্দ্র
Train_199993,64,7,7,র্ত্রে
Train_200510,64,3,7,র্ত্রী
Train_200736,64,7,7,র্ত্রে
